,p_pi,p_gamma
0,4.400733444320792e-09,"1.02861301656265e-05
"
1,1.2537366811393724e-08,"0
"
2,0.960135673234819,"0.470492384729727
"
3,7.216449660063518e-15,"0
"
4,1.262545623603728e-12,"0
"
5,2.3205359855893448e-10,"0
"
6,0.00011868183038010738,"2.11757802508483e-05
"
7,4.440892098500626e-16,"0
"
8,0.1225600423036286,"0.145910013120963
"
9,4.244032513200935e-07,"7.21081107866173e-05
"
10,1.5654144647214707e-14,"0.00792951160371858
"
11,1.3744561044859438e-13,"5.17133477065945e-05
"
12,1.5543122344752192e-15,"7.88299905196688e-06
"
13,1.2181941011490949e-08,"0
"
14,0.0,"0
"
15,5.551115123125783e-16,"9.50684944989177e-06
"
16,1.9984014443252818e-15,"0
"
17,0.0,"0
"
18,0.0,"0
"
19,8.95405971590435e-12,"0
"
20,2.3314683517128287e-15,"0
"
21,0.0,"0
"
22,2.220446049250313e-16,"4.67112108748502e-06
"
23,4.1451997390140605e-10,"1.13556486351918e-05
"
24,1.305622276959184e-13,"0
"
25,7.541411939371301e-12,"5.2126406973052e-06
"
26,1.1102230246251565e-16,"0
"
27,2.750877303725474e-11,"0
"
28,0.000969768561116302,"0.0182479073030992
"
29,8.47288650351885e-09,"0
"
30,0.0,"0
"
31,2.1649348980190553e-13,"0.000177337241795694
"
32,7.048875720094827e-05,"0.00230276282521491
"
33,0.0,"0
"
34,2.220446049250313e-16,"0
"
35,1.1102230246251565e-16,"0
"
36,0.00010675875600607565,"0.0011811468717573
"
37,4.030109579389318e-13,"0
"
38,1.617479616911055e-08,"0.00654067266143521
"
39,0.0,"0
"
40,1.411271599582875e-08,"0.00118817475140953
"
41,1.9984014443252818e-15,"0
"
42,1.3551244903986515e-08,"0
"
43,0.0,"0
"
44,0.0,"0
"
45,1.1855188941645167e-08,"0.000248749870536358
"
46,0.0,"7.73304999823754e-06
"
47,3.2281991368954266e-07,"3.18694026706368e-05
"
48,0.0,"0
"
49,3.941291737419306e-14,"0
"
50,3.219646771412954e-15,"0
"
51,5.551115123125783e-16,"0
"
52,8.597916489883062e-08,"0
"
53,1.3785084185258256e-11,"0
"
54,0.0004106679384267009,"0.0109712733197677
"
55,1.559454787525283e-10,"7.46680115271126e-06
"
56,0.05065419363553647,"0.0932320891194713
"
57,1.0547118733938987e-13,"0.000745105327994322
"
58,9.470202400052585e-14,"0
"
59,0.0,"0
"
60,9.194200956130771e-12,"0
"
61,3.0530244998772105e-11,"0
"
62,1.87164675757856e-07,"0.00541777548460665
"
63,5.368469024880085e-08,"9.41521470521067e-06
"
64,0.3920805968518807,"0.153307763737903
"
65,0.0,"0
"
66,0.0,"0
"
67,2.1526303473073938e-06,"0.000115545222512559
"
68,3.674838211509268e-14,"0
"
69,1.607987076823747e-10,"0
"
70,3.4544145322001896e-11,"0
"
71,1.672140204078687e-11,"0.00189472704260951
"
72,6.102895966364486e-13,"0
"
73,2.1519785953216797e-11,"0
"
74,5.317733894338872e-07,"1.1366754812725e-05
"
75,0.2668291844406607,"0.37439709818465
"
76,1.1457679249815556e-10,"0
"
77,8.81112929285166e-08,"5.66365414722547e-06
"
78,0.007628644010922558,"0.0032733011975048
"
79,1.404729291187845e-05,"0.00212823798709716
"
80,4.0319215077744275e-08,"0.0301646197305261
"
81,0.0,"0
"
82,0.0002392306425536006,"0.00698941759323324
"
83,3.745306176305974e-09,"4.46841841303947e-05
"
84,3.657185665417728e-11,"0
"
85,0.0012455017264991763,"0.0152122457048168
"
86,5.299205518838335e-12,"0
"
87,0.0043980500575379056,"0.00103777878656075
"
88,5.010033128305391e-05,"0.00186277597275919
"
89,0.0,"0
"
90,8.104628079763643e-15,"0
"
91,7.549516567451064e-15,"3.08785159439662e-05
"
92,1.1102230246251565e-16,"0
"
93,0.0,"0
"
94,0.05357801079295055,"0.00135005508011443
"
95,0.0,"0
"
96,1.7118650774694544e-07,"1.80744108948527e-05
"
97,1.1102230246251565e-16,"0
"
98,1.0935696792557792e-13,"0
"
99,0.0,"0
"
100,7.085443343157749e-13,"7.8353029913103e-06
"
101,1.1102230246251565e-16,"0
"
102,0.0,"0
"
103,3.3306690738754696e-16,"0
"
104,6.949496533792399e-11,"0
"
105,0.0,"0
"
106,0.0,"1.99390998514293e-05
"
107,3.9268588380991787e-13,"0
"
108,6.262180640703718e-08,"0
"
109,9.072298468026929e-11,"0
"
110,0.2545186979959545,"0.351751327133663
"
111,7.882583474838611e-15,"1.14116936464903e-05
"
112,6.444522693271892e-11,"9.35398979285962e-05
"
113,2.7706874405897253e-07,"8.2868273205694e-06
"
114,1.8523733458231106e-07,"0
"
115,8.211653579337508e-12,"5.51912024215895e-06
"
116,0.020517232326987656,"0.0461675538024148
"
117,0.0,"0
"
118,1.1102230246251565e-16,"0
"
119,0.0,"0
"
120,0.0,"0
"
121,3.3228975127030935e-12,"0
"
122,4.940170494904805e-11,"2.34509018171014e-05
"
123,2.5222735011709574e-10,"0
"
124,2.695973888577896e-09,"0
"
125,6.856972332980327e-05,"0.0377085432272208
"
126,2.020605904817785e-14,"0
"
127,0.020957122754084345,"0.00558970684826599
"
128,3.3306690738754696e-16,"0
"
129,1.27675647831893e-14,"0
"
130,1.1102230246251565e-16,"0
"
131,0.4077844177492391,"0.330929972884327
"
132,1.1102230246251565e-16,"0
"
133,2.0225036090337767e-08,"4.00257519976854e-05
"
134,0.0,"0
"
135,1.2202833934438218e-06,"1.88478082434607e-05
"
136,2.142730437526552e-13,"0
"
137,0.03709544298271317,"0.0232331164251731
"
138,0.0,"0
"
139,0.025256837218381234,"0.290247150736388
"
140,1.199040866595169e-14,"0
"
141,0.025760667954263683,"0.164063900420436
"
142,2.809752430721346e-12,"0
"
143,1.1102230246251565e-16,"0
"
144,0.0,"0
"
145,2.220446049250313e-16,"0
"
146,8.477452073663017e-11,"0
"
147,6.306066779870889e-14,"5.76639807758905e-06
"
148,4.5045411845023864e-11,"5.09532488424114e-06
"
149,1.1102230246251565e-16,"0
"
150,4.64184246595778e-13,"0
"
151,7.066082896578507e-08,"9.0083647827921e-06
"
152,1.8396395518038844e-13,"0
"
153,0.0,"0
"
154,3.919586877287884e-11,"0
"
155,0.004821273552845451,"0.0096309248854094
"
156,5.744879316704754e-07,"4.50960118721921e-05
"
157,0.0,"0
"
158,1.4395640235420615e-10,"0.00192214134371749
"
159,1.1102230246251565e-16,"0
"
160,7.150840586334084e-09,"3.44236964034961e-05
"
161,8.43769498715119e-15,"0
"
162,1.0438137132418035e-08,"0.00163009942420989
"
163,8.881784197001252e-13,"0
"
164,6.661338147750939e-16,"0
"
165,0.0005293909837168487,"0.0744872964315002
"
166,9.753309271332e-13,"3.57303670250886e-06
"
167,6.186084977599648e-11,"0
"
168,0.0,"0
"
169,4.417494148256651e-10,"1.26272679739081e-05
"
170,1.3465117909561286e-11,"0
"
171,2.1331825195147758e-12,"0
"
172,2.220446049250313e-16,"0
"
173,2.220446049250313e-16,"0
"
174,0.0,"0
"
175,5.788520730887203e-05,"0.000688745751497466
"
176,4.6986858848185875e-12,"0
"
177,1.2160306095410078e-09,"0
"
178,0.013637136166917752,"0.0520996351699436
"
179,6.710155313616184e-07,"1.61182807210114e-05
"
180,5.2328714916782815e-08,"0
"
181,3.674505144601881e-12,"0
"
182,1.5301359382879909e-06,"0.0113347619105315
"
183,1.2840967725802344e-06,"0
"
184,5.7893846383549885e-09,"0
"
185,4.807265696626928e-14,"5.7556190588226e-05
"
186,0.03327393433452619,"0.326082617309571
"
187,7.866194705918872e-05,"6.83810136583585e-05
"
188,6.661338147750939e-16,"0
"
189,8.881784197001252e-16,"0
"
190,0.016298499491942064,"0.316491804261207
"
191,7.47436433856663e-08,"1.31465434436429e-05
"
192,3.3306690738754696e-16,"0
"
193,0.0002770988908937788,"0.000253126445124319
"
194,5.814396729209026e-05,"0.00251448112250574
"
195,2.9422011504909307e-07,"0.000251724459892744
"
196,0.17667989565802156,"0.99260975634607
"
197,5.1294191116824095e-11,"0
"
198,2.0655650752043897e-06,"0.000176807851421046
"
199,3.153721728210712e-11,"0
"
200,1.1300188451635051e-08,"8.67032767393194e-06
"
201,5.422481130779033e-09,"0
"
202,4.792055641189563e-12,"0
"
203,4.204414594255468e-13,"0
"
204,1.669981443908064e-06,"0.000123228051774893
"
205,9.805885436975359e-09,"0.00864484338031302
"
206,2.594591208548991e-13,"0
"
207,5.88418203051333e-15,"0
"
208,2.220446049250313e-16,"0
"
209,2.5816474846784843e-08,"0.00123154206548137
"
210,2.817212702010963e-07,"0.000218472603936593
"
211,2.2997232939192536e-05,"0.00772929205516459
"
212,3.949964355598468e-09,"0
"
213,5.137001934940599e-11,"0.000236074599547109
"
214,3.147005424464222e-05,"8.96135449512947e-06
"
215,2.1699309016298685e-12,"0
"
216,5.88418203051333e-15,"0
"
217,5.695777183234441e-12,"0
"
218,2.381871366807786e-10,"0
"
219,3.3084646133829665e-14,"0
"
220,9.995160255016344e-11,"0
"
221,1.4710781370830261e-08,"0
"
222,0.0,"0.00059389747365679
"
223,0.30135221905920073,"0.252185520171964
"
224,1.4516798874097958e-10,"0
"
225,1.1102230246251565e-14,"0
"
226,1.184607967275042e-13,"0
"
