,gene_name,uniprot_ID,Mann-Whitney p-val,permutation p-val
0,UBE2M,P61081,0.38368988817934147,82.91708291708292
1,UBE2N,P61088,0.10796246947007015,96.00399600399601
2,CNTN6,Q9UQ52,0.030699175988877177,89.41058941058941
3,AK4,P27144,0.27726520324471204,78.42157842157842
4,CEACAM7,Q14002,0.00713350066323229,70.02997002997003
5,KCNC3,Q14003,0.02591496360895484,0.7992007992007992
6,CDK13,Q14004,0.38616872064639024,4.495504495504496
7,IL16,Q14005,0.0023828411624386057,76.02397602397602
8,CKAP5,Q14008,0.3040384397329614,42.25774225774226
9,FCHO2,Q0JRZ9,0.1952141387921496,0.0999000999000999
10,ANKRD36C,Q5JPF3,0.22505105055632246,0.0999000999000999
11,SPINT4,Q6UDR6,0.006092890177672406,79.52047952047953
12,IL23R,Q5VWK5,0.29910888224551596,54.54545454545455
13,TRAPPC3L,Q5T215,0.43549559739873167,94.50549450549451
14,GTPBP3,Q969Y2,0.3604924309508354,1.098901098901099
15,NXPE3,Q969Y0,0.07980688251326712,31.96803196803197
16,BPHL,Q86WA6,0.2186288878548021,69.03096903096903
17,SLC26A11,Q86WA9,0.1754202803041186,65.63436563436564
18,LONP2,Q86WA8,0.007457388998368089,67.33266733266733
19,HMGXB3,Q12766,0.18554668476134878,32.467532467532465
20,FOXP4,Q8IVH2,0.29794154528258887,55.344655344655344
21,C3orf52,Q5BVD1,0.05237777368232185,17.282717282717282
22,NDUFS2,O75306,0.009686659665796444,30.369630369630368
23,RORB,Q92753,0.2293592793625111,78.72127872127872
24,SFRP5,Q5T4F7,0.4873606164983257,37.06293706293706
25,ZFYVE27,Q5T4F4,0.004066010949440919,96.7032967032967
26,CDH16,O75309,0.329435311410818,0.0999000999000999
27,PRSS55,Q6UWB4,0.04354416882586409,51.14885114885115
28,ABI3,Q9P2A4,4.624673642941295e-05,60.13986013986014
29,SNAI2,O43623,0.17761294064363947,91.30869130869131
30,CSTF3,Q12996,0.0003022688497275727,50.04995004995005
31,ALDH6A1,Q02252,1.4215455042654542e-09,0.0999000999000999
32,ULK4,Q96C45,0.2381720993546344,58.44155844155844
33,MYBPHL,A2RUH7,0.0013794558769493464,87.61238761238761
34,TXNDC5,Q8NBS9,0.39960482845511003,48.55144855144855
35,AK8,Q96MA6,0.005886525488358221,0.0999000999000999
36,COA6,Q5JTJ3,0.5,
37,DMRTB1,Q96MA1,0.03309628986109672,0.0999000999000999
